4261.48000000,4485.39000000,3850.00000000,4086.29000000,2843.43142600
4069.13000000,4453.91000000,3400.00000000,4310.01000000,4599.39662900
4310.01000000,4939.19000000,4124.54000000,4509.08000000,4753.84337600
4505.00000000,4788.59000000,3603.00000000,4130.37000000,6382.78774500
4153.62000000,4394.59000000,2817.00000000,3699.99000000,8106.70512700
3690.00000000,4123.20000000,3505.55000000,3660.02000000,5908.32335000
3660.02000000,4406.52000000,3653.69000000,4378.48000000,5782.30542400
4400.00000000,4658.00000000,4110.00000000,4640.00000000,4708.27295600
4640.00000000,5922.30000000,4550.00000000,5709.99000000,7913.92583700
5710.00000000,6171.00000000,5037.95000000,5950.02000000,12157.76944700
5975.00000000,6189.88000000,5286.98000000,6169.98000000,13133.99457000
6133.01000000,7590.25000000,6030.00000000,7345.01000000,11663.20964800
7345.10000000,7770.02000000,5325.01000000,5811.03000000,18916.31990000
5839.94000000,8123.15000000,5699.99000000,8038.00000000,19791.10101100
8057.11000000,9350.00000000,7801.00000000,9128.02000000,28921.85979200
9128.00000000,11825.00000000,8520.00000000,11165.41000000,48427.94965000
11165.41000000,17204.99000000,10802.00000000,14899.98000000,72469.97762700
14946.26000000,19798.68000000,14666.56000000,18860.02000000,67851.48621500
18860.04000000,19300.00000000,10961.00000000,13500.00000000,135385.44032200
13500.00000000,16498.05000000,11750.00000000,13716.36000000,116522.75432100
13715.65000000,17176.24000000,12750.00000000,16150.03000000,120239.39935900
16218.85000000,16322.30000000,11400.00000000,13474.99000000,137537.90456500
13477.98000000,14249.99000000,9035.00000000,11530.00000000,303127.50213700
11530.00000000,12244.00000000,9900.24000000,11879.95000000,198030.05111700
11879.95000000,11975.02000000,7930.00000000,8184.81000000,202016.40775900
8179.99000000,9065.78000000,6000.01000000,8063.88000000,340794.29213100
8063.82000000,11274.00000000,8053.00000000,10383.43000000,311863.06813700
10375.01000000,11786.01000000,9274.80000000,9590.00000000,350623.13291100
9590.00000000,11565.00000000,9350.00000000,11515.00000000,183970.99761400
11515.00000000,11710.00000000,8329.00000000,9533.57000000,282035.22538200
9533.57000000,9888.88000000,7322.00000000,8189.99000000,315835.15160600
8189.00000000,9177.01000000,8088.40000000,8470.15000000,285211.53951100
8470.14000000,8514.89000000,6430.00000000,6813.01000000,308729.49203100
6813.01000000,7520.00000000,6500.00000000,7018.00000000,232320.07049900
7011.04000000,8429.54000000,6611.00000000,8355.00000000,259877.02241400
8355.07000000,9035.00000000,7825.40000000,8787.02000000,233025.38619000
8785.70000000,9759.82000000,8651.62000000,9419.00000000,306668.07214000
9417.04000000,10020.00000000,8800.49000000,9659.01000000,222274.38854000
9661.02000000,9689.67000000,8153.00000000,8679.71000000,224151.29875100
8679.71000000,8879.99000000,7911.90000000,8526.98000000,182713.82601200
8526.97000000,8595.31000000,7231.11000000,7338.99000000,190894.60093900
7338.99000000,7786.69000000,7032.95000000,7714.26000000,211929.27076600
7714.26000000,7765.00000000,6622.81000000,6764.99000000,211352.73747800
6765.00000000,6922.00000000,6118.68000000,6449.61000000,234080.84117100
6444.06000000,6841.74000000,5750.00000000,6136.97000000,234147.62101500
6137.95000000,6528.99000000,5780.00000000,6356.81000000,207746.55900600
6360.82000000,6818.16000000,6271.62000000,6712.10000000,211526.01905800
6712.10000000,6802.06000000,6070.00000000,6353.01000000,192452.84988000
6354.15000000,7700.00000000,6330.40000000,7394.79000000,294313.22260400
7394.78000000,8491.77000000,7375.00000000,8211.00000000,288666.04714100
8210.99000000,8273.00000000,6882.29000000,7024.19000000,282090.10358400
7024.19000000,7160.00000000,5971.00000000,6308.33000000,334426.55074300
6308.56000000,6620.00000000,5880.00000000,6477.53000000,378189.29648700
6477.53000000,6882.54000000,6220.00000000,6700.00000000,286906.53931100
6700.00000000,7345.45000000,6646.50000000,7302.01000000,294674.91300500
7302.00000000,7410.00000000,6111.00000000,6250.81000000,306231.62342400
6252.26000000,6584.99000000,6169.68000000,6505.00000000,227428.18285400
6500.08000000,6839.03000000,6123.00000000,6708.00000000,244256.49012100
6706.81000000,6814.80000000,6325.02000000,6626.57000000,242598.87247100
6626.57000000,6697.00000000,6430.00000000,6615.26000000,141836.47648300
6615.26000000,6715.60000000,6205.00000000,6339.34000000,166310.81354400
6339.34000000,7680.00000000,6300.00000000,6590.11000000,211592.62313900
6590.12000000,6639.00000000,6453.00000000,6489.93000000,75328.88538500
6489.93000000,6525.00000000,6245.02000000,6485.85000000,71945.40060700
6485.85000000,6615.15000000,6355.00000000,6449.81000000,76161.78188000
6450.71000000,6498.00000000,5403.42000000,5662.00000000,205081.18393800
5661.94000000,5664.00000000,3652.66000000,4085.78000000,496323.79998000
4088.69000000,4450.38000000,3689.12000000,4161.01000000,479458.79915100
4160.55000000,4179.00000000,3222.00000000,3545.37000000,406435.81785400
3548.49000000,3610.00000000,3156.26000000,3228.67000000,249791.79078700
3229.22000000,4139.99000000,3216.00000000,3929.71000000,489096.27646700
3929.71000000,4198.00000000,3535.00000000,3801.91000000,332161.25544200
3803.12000000,4027.71000000,3630.33000000,3987.60000000,214860.90624200
3987.62000000,4069.80000000,3441.30000000,3476.81000000,245887.27794800
3477.56000000,3720.00000000,3467.02000000,3539.28000000,199395.79296500
3539.26000000,3662.94000000,3434.85000000,3550.84000000,154566.45086100
3550.05000000,3557.75000000,3349.92000000,3458.11000000,186574.10542300
3458.11000000,3733.58000000,3373.10000000,3680.06000000,198350.67398800
3679.75000000,3700.11000000,3568.11000000,3667.58000000,167995.80513900
3667.62000000,4198.00000000,3655.00000000,3743.56000000,301384.22226000
